company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
GRASIM,202103,+,-,-,Reinvestor
GRASIM,202203,+,-,-,Reinvestor
GRASIM,202303,-,-,+,Growth Funded by Debt
GRASIM,202403,-,-,+,Growth Funded by Debt
HAL,201703,-,+,-,Mixed
HAL,201803,-,+,-,Mixed
HAL,201903,-,+,+,Distress Signal
HAL,202003,+,-,+,Mixed
HAL,202103,+,-,-,Shareholder Returns
HAL,202203,+,-,-,Shareholder Returns
HAL,202303,+,-,-,Shareholder Returns
HAL,202403,+,-,-,Shareholder Returns
HAVELLS,201303,+,-,-,Shareholder Returns
HAVELLS,201403,+,-,-,Shareholder Returns
HAVELLS,201503,+,-,-,Shareholder Returns
HAVELLS,201603,+,-,-,Shareholder Returns
HAVELLS,201703,+,-,-,Shareholder Returns
HAVELLS,201803,+,-,-,Shareholder Returns
HAVELLS,201903,+,+,-,Liquidating Assets
HAVELLS,202003,+,-,-,Shareholder Returns
HAVELLS,202103,+,-,+,Mixed
HAVELLS,202203,+,-,-,Shareholder Returns
HAVELLS,202303,+,+,-,Liquidating Assets
HAVELLS,202403,+,-,-,Shareholder Returns
HCLTECH,201306,+,-,-,Shareholder Returns
HCLTECH,201406,+,-,-,Shareholder Returns
HCLTECH,201506,+,-,-,Shareholder Returns
HCLTECH,201703,+,-,-,Shareholder Returns
HCLTECH,201803,+,-,-,Shareholder Returns
HCLTECH,201903,+,-,-,Shareholder Returns
HCLTECH,202003,+,-,-,Shareholder Returns
HCLTECH,202103,+,-,-,Shareholder Returns
HCLTECH,202203,+,+,-,Liquidating Assets
HCLTECH,202303,+,-,-,Shareholder Returns
HCLTECH,202403,+,-,-,Shareholder Returns
HDFCBANK,201303,-,-,+,Growth Funded by Debt
HDFCBANK,201403,+,-,+,Mixed
HDFCBANK,201503,-,-,+,Growth Funded by Debt
HDFCBANK,201603,-,-,+,Growth Funded by Debt
HDFCBANK,201703,+,-,-,Reinvestor
